Author,Company,Download,Title,Before Parsing
Harry Bims,"""Project Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0062-00-000q-ieee-p802-16q-project-minutes-for-session-84.doc,IEEE P802.16q Project Minutes for Session #84,Harry Bims (Project Chair)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0025-03-000q-session-83-minutes-of-p802-16q-task-group.doc,Session #83 Minutes of P802.16q Task Group,Harry Bims (P802.16q Chair)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0025-02-000q-session-83-minutes-of-p802-16q-task-group.doc,Session #83 Minutes of P802.16q Task Group,Harry Bims (P802.16q Chair)
Roger Marks,"""Consensii LLC; Mobile Pulse, Inc.""",https://mentor.ieee.org/802.16/dcn/13/16-13-0060-01-03R0-ieee-p802-16-3-call-for-contributions-toward-session-85.docx,IEEE P802.16.3 Call for Contributions toward Session #85,"Roger Marks (Consensii LLC; Mobile Pulse, Inc.)"
Roger Marks,"""Consensii LLC; Mobile Pulse, Inc.""",https://mentor.ieee.org/802.16/dcn/13/16-13-0059-01-03R0-proposed-statement-to-ietf-lmap-on-ieee-p802-16-3-activity.docx,Proposed Statement to IETF LMAP on IEEE P802.16.3 Activity,"Roger Marks (Consensii LLC; Mobile Pulse, Inc.)"
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0025-01-000q-session-83-minutes-of-p802-16q-task-group.doc,Session #83 Minutes of P802.16q Task Group,Harry Bims (P802.16q Chair)
Roger Marks,"""Consensii LLC; Mobile Pulse, Inc.""",https://mentor.ieee.org/802.16/dcn/13/16-13-0061-00-03R0-proposed-statement-to-bbf-response-to-liaison-of-8-march-on-performance-measurements-architecture.docx,Proposed statement to BBF: Response to liaison of 8 March on Performance Measurements Architecture,"Roger Marks (Consensii LLC; Mobile Pulse, Inc.)"
Roger Marks,"""Consensii LLC; Mobile Pulse, Inc.""",https://mentor.ieee.org/802.16/dcn/13/16-13-0060-00-03R0-ieee-p802-16-3-call-for-contributions-toward-session-85.docx,IEEE P802.16.3 Call for Contributions toward Session #85,"Roger Marks (Consensii LLC; Mobile Pulse, Inc.)"
Roger Marks,"""Consensii LLC; Mobile Pulse, Inc.""",https://mentor.ieee.org/802.16/dcn/13/16-13-0059-00-03R0-proposed-statement-to-ietf-lmap-on-ieee-p802-16-3-activity.docx,Proposed Statement to IETF LMAP on IEEE P802.16.3 Activity,"Roger Marks (Consensii LLC; Mobile Pulse, Inc.)"
Ching-Tarng Hsieh,"""ITRI""",https://mentor.ieee.org/802.16/dcn/13/16-13-0058-00-000r-proposed-draft-ieee-802-16r-architecture-and-requirements-for-small-cell-backhaul.doc,Proposed Draft IEEE 802.16r Architecture and Requirements for Small Cell Backhaul,Ching-Tarng Hsieh (ITRI)
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/13/16-13-0039-01-Gdoc-minutes-of-ieee-802-16-session-83.doc,Minutes of IEEE 802.16 Session #83,Harry Bims (WG Secretary)
Roger Marks,"""Consensii LLC""",https://mentor.ieee.org/802.16/dcn/13/16-13-0053-01-Gcon-proposed-ls-to-itu-r-wp-5d-update-toward-rec-itu-r-m-1457-12-meeting-x-notification.docx,Proposed LS to ITU-R WP 5D: Update toward Rec. ITU-R M.1457-12 (Meeting X Notification),Roger Marks (Consensii LLC)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/13/16-13-0057-00-000r-bridging-issues-in-integration-of-ieee-802-16-and-carrier-ethernet.pdf,Bridging Issues in Integration of IEEE 802.16 and Carrier Ethernet,Roger Marks (EthAirNet Associates)
Roger Marks,"""Consensii LLC""",https://mentor.ieee.org/802.16/dcn/13/16-13-0056-00-Gcon-proposed-cont-to-itu-r-wp-5d-update-of-wirelessman-advanced-rit-of-rec-itu-r-m-2012-meeting-y-2.zip,Proposed Cont. to ITU-R WP 5D- Update of WirelessMAN-Advanced RIT of Rec. ITU-R M.2012 (Meeting Y+2),Roger Marks (Consensii LLC)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/13/16-13-0049-02-000r-integration-of-ieee-802-16-and-carrier-ethernet.pdf,Integration of IEEE 802.16 and Carrier Ethernet,Roger Marks (EthAirNet Associates)
uploaded by Roger Marks,"""IEEE 802.16 WG""",https://mentor.ieee.org/802.16/dcn/13/16-13-0055-00-WGLS-ls-from-wp5a-consideration-of-spectrum-estimates-for-terrestrial-mobile-broadband-excluding-imt.docx,LS from WP5A: Consideration of Spectrum Estimates for terrestrial mobile broadband (excluding IMT),uploaded by Roger Marks (IEEE 802.16 WG)
