GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-01-000s-802-16s-approved-system-description-document-sdd.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0017-01-000s-representative-channel-performance-for-802-16s.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0017-00-000s-representative-channel-performance-for-802-16s.docx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0010-02-Gdoc-combined-comments-for-wg-letter-ballot-40.xlsx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0007-02-000s-performance-projections-for-sub-1-25-mhz-channels.docx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0004-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-107.doc
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0016-00-Gdoc-working-group-minutes-for-session-108.doc
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0015-00-000s-march-2017-meeting-presentation.pptx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0004-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-107.doc
Harry Bims,"""Bims Laboratories, Inc""",https://mentor.ieee.org/802.16/dcn/17/16-17-0014-00-00R4-comments-on-pre-release-version-1.xls
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0012-00-Gdoc-ieee-802-16-administrative-report.pdf
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0011-00-Gdoc-ieee-802-16-status-report-session-108.pdf
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0010-01-Gdoc-combined-comments-for-wg-letter-ballot-40.xlsx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0010-00-Gdoc-combined-comments-for-wg-letter-ballot-40.xlsx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0009-00-000s-gridman-teleconference-minutes-2017-02-23.doc
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0007-01-000s-performance-projections-for-sub-1-25-mhz-channels.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0008-00-000s-ieee-p80216s-poll-comments.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0007-00-000s-performance-projections-for-sub-1-25-mhz-channels.docx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0005-01-000s-january-2017-meeting-presentation.pptx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0001-03-000s-draft-proposed-amendments-to-802-16-to-support-1-25-mhz-channels.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-00-000s-802-16s-approved-system-description-document-sdd.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0001-02-000s-draft-proposed-amendments-to-802-16-to-support-1-25-mhz-channels.docx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0005-00-000s-january-2017-meeting-presentation.pptx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0004-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-107.doc
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0001-01-000s-draft-proposed-amendments-to-802-16-to-support-1-25-mhz-channels.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/17/16-17-0002-01-000s-proposed-amendment-changes-section-6.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/17/16-17-0003-00-000s-proposed-amendment-changes-section-8.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/17/16-17-0002-00-000s-proposed-amendment-changes-section-6.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0001-00-000s-draft-proposed-amendments-to-802-16-to-support-1-25-mhz-channels.docx
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/16/16-16-0066-01-Gdoc-p802-16rev4-revision-par-to-nescom.pdf
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/16/16-16-0066-00-Gdoc-p802-16rev4-revision-par-to-nescom.pdf
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/16/16-16-0065-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-106.doc
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0064-00-Gcon-treasurer-report-nov-2016.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0063-00-000s-gridman-closing-report-nov-2016.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0058-01-000s-november-2016-meeting-presentation.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-07-000s-802-16s-draft-system-description-document-sdd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0034-04-000s-p802-16s-system-requirements-document-srd.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0062-01-000s-channel-configuration-vs-bandwidth.xlsx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0062-00-000s-channel-configuration-vs-bandwidth.xlsx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0060-01-000s-caculator-for-proposed-mac-layer-overhead-reduction-schemes.xlsx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-06-000s-802-16s-draft-system-description-document-sdd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-05-000s-802-16s-draft-system-description-document-sdd.docx
Roger Marks,"""IEEE 802.16""",https://mentor.ieee.org/802.16/dcn/16/16-16-0019-03-Gdoc-draft-par-802-16rev4-for-revision-to-ieee-std-802-16.docx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/16/16-16-0055-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-105.doc
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/16/16-16-0061-01-Gdoc-ieee-802-16-status-report-session-106.pdf
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/16/16-16-0061-00-Gdoc-ieee-802-16-status-report-session-106.pdf
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0047-02-000s-benefits-of-specific-phy-layer-parameters-to-support-1mhz-channels.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0060-00-000s-caculator-for-proposed-mac-layer-overhead-reduction-schemes.xlsx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0059-00-000s-proposed-mac-layer-overhead-reduction-schemes.docx
