05-Jul-2017 ET,2017,17,3,000s: P802.16s,Representative Channel Performance for 802.16s,Doug Gray (EPRI),05-Jul-2017 17:12:31 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0017-03-000s-representative-channel-performance-for-802-16s.docx,https://mentor.ieee.org/802.16/documents
27-Jun-2017 ET,2017,34,0,Gdoc: Group Document,P802.16Rev4 to Sponsor Ballot: Conditional Approval Request,Roger Marks (EthAirNet Associates),12-Jul-2017 02:29:54 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0034-00-Gdoc-p802-16rev4-to-sponsor-ballot-conditional-approval-request.pptx,https://mentor.ieee.org/802.16/documents
27-Jun-2017 ET,2017,33,0,Gdoc: Group Document,"IEEE 802.16 Status Report, Session #110",Roger Marks (EthAirNet Associates),27-Jun-2017 16:24:45 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0033-00-Gdoc-ieee-802-16-status-report-session-110.pdf,https://mentor.ieee.org/802.16/documents
26-Jun-2017 ET,2017,25,2,00R4: P802.16 Rev 4,WG Letter Ballot 41 editor dispositions and consolidated comments,Harry Bims (WG Vice-Chair),26-Jun-2017 09:50:31 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0025-02-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx,https://mentor.ieee.org/802.16/documents
19-Jun-2017 ET,2017,32,1,000s: P802.16s,Maintenance TG LB #41 comment resolutions,Ron Murias (Maint TG Editor),19-Jun-2017 16:00:39 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0032-01-000s-maintenance-tg-lb-41-comment-resolutions.xlsx,https://mentor.ieee.org/802.16/documents
08-Jun-2017 ET,2017,26,3,000s: P802.16s,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI),08-Jun-2017 14:10:53 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0026-03-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,https://mentor.ieee.org/802.16/documents
03-Jun-2017 ET,2017,26,2,000s: P802.16s,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI),03-Jun-2017 19:04:30 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0026-02-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,https://mentor.ieee.org/802.16/documents
01-Jun-2017 ET,2017,30,1,Gdoc: Group Document,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair),12-Jul-2017 18:32:56 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0030-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,32,0,000s: P802.16s,Maintenance TG LB #41 comment resolutions,Harry Bims (Maint TG Chair),31-May-2017 22:52:08 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0032-00-000s-maintenance-tg-lb-41-comment-resolutions.xlsx,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,31,1,000s: P802.16s,GRIDMAN Meeting Presentation - May 2017,Tim Godfrey (EPRI),31-May-2017 19:22:13 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0031-01-000s-gridman-meeting-presentation-may-2017.pptx,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,26,1,000s: P802.16s,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI),31-May-2017 13:07:58 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0026-01-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,31,0,000s: P802.16s,GRIDMAN Meeting Presentation - May 2017,Tim Godfrey (EPRI),31-May-2017 11:23:28 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0031-00-000s-gridman-meeting-presentation-may-2017.pptx,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,30,0,Gdoc: Group Document,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair),31-May-2017 23:08:06 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0030-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,29,1,00R4: P802.16 Rev 4,IEEE 802.16 Maintenance Task Group Opening Report for Session #109,Harry Bims (Maint TG Chair),31-May-2017 00:26:21 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0029-01-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-109.pptx,https://mentor.ieee.org/802.16/documents
31-May-2017 ET,2017,25,1,00R4: P802.16 Rev 4,WG Letter Ballot 41 editor dispositions and consolidated comments,Harry Bims (WG Vice-Chair),31-May-2017 00:25:28 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0025-01-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx,https://mentor.ieee.org/802.16/documents
30-May-2017 ET,2017,29,0,00R4: P802.16 Rev 4,IEEE 802.16 Maintenance Task Group Opening Report for Session #109,Harry Bims (Maint TG Chair),30-May-2017 19:09:04 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0029-00-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-109.pptx,https://mentor.ieee.org/802.16/documents
30-May-2017 ET,2017,28,0,Gdoc: Group Document,EEE 802.16 Administrative Report for Session #109,Harry Bims (Acting Chair),30-May-2017 15:05:14 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0028-00-Gdoc-eee-802-16-administrative-report-for-session-109.pdf,https://mentor.ieee.org/802.16/documents
30-May-2017 ET,2017,27,0,Gdoc: Group Document,"IEEE 802.16 Status Report, Session #108",Harry Bims (WG Acting Chair),31-May-2017 18:52:48 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0027-00-Gdoc-ieee-802-16-status-report-session-108.pdf,https://mentor.ieee.org/802.16/documents
29-May-2017 ET,2017,26,0,000s: P802.16s,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI),29-May-2017 09:55:51 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0026-00-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,https://mentor.ieee.org/802.16/documents
27-May-2017 ET,2017,25,0,00R4: P802.16 Rev 4,WG Letter Ballot 41 editor dispositions and consolidated comments,Harry Bims (WG Vice-Chair),27-May-2017 17:38:57 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0025-00-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx,https://mentor.ieee.org/802.16/documents
24-May-2017 ET,2017,24,0,00R4: P802.16 Rev 4,WG Letter Ballot 41 Editor Dispositions,"Ron Murias (Murias Consulting, Inc.)",24-May-2017 18:08:40 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0024-00-00R4-wg-letter-ballot-41-editor-dispositions.xlsx,https://mentor.ieee.org/802.16/documents
13-May-2017 ET,2017,23,0,000s: P802.16s,P802.16s/D2 Sponsor Ballot comments,Roger Marks (EthAirNet Associates),13-May-2017 00:26:18 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0023-00-000s-p802-16s-d2-sponsor-ballot-comments.xlsx,https://mentor.ieee.org/802.16/documents
